--------------------------------------------------------------------------------------------------------------------------------------------------------------------
EARLY	Merovingian Age			723 - 754			(31 years)
1190	ARMOR	 			Coat of Plates			German fraternity founds the Teutonic Order
1192	SKIRMISH			Pavise				Genoese crossbowmen use pavise at the crusades
1199	MANORIALISM			Charter Rolls			Chancery commences to keep the Charter Rolls
1209	SKIRMISH			Arbalest			Albigensian Crusade commences			
1216	FINANCE				Merchant Bank			Cahorsins are present at the Champagne Fairs
1235	SCRIPTURES 			Gothic Manuscripts		Eike of Repgow compiles the Saxon Mirror		
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
HIH	Rayonnant Age			1236 - 1280			(44 years)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
1236	HELMETS[HISTORIC]		Great Helm			Ferdinan III the Saint besieges Cordoba
1237	WARDROBE 			Parlor				Teutonic Order absorbs the Livonian Brothers of the Sword
1238	CAVALRY				Jinete				James I of Aragon conquers Valencia
1240	SIEGECRAFT			Gunpowder			Hasan al-Rammah completes his treatise on gunpowder	
1241	CONSTRUCTION 			Treadwheel Crane		Reims cathedral completes its choir
1242	ARMOR	 			Brigandine			Mongols besiege Esztergom
1243	FORTIFICATION			Barbican			Henry III bestows the custody of Kenilworth Castle to Simon de Montfort	
1246	CRAFTS				Lesser Guilds			Florence guilds are reorganized
1250	FEUDALISM			Fables				William completes his Reynard the Fox
1252	FINANCE				Anchor Currency			First minting of the Florin
1254	MANORIALISM			Gothic Urbanization		Copenhagen receives its city charter
1256	MELEE/POLEARM 			Bardiche			Alexander Nevsky routs the Swedes
1259	SCRIPTURES			Roll of Arms			Matthew Paris completes his Chronica Majora				
1265	SCHOLASTICISM			High Scholasticism		Thomas Aquinas completes his Summa Theologica
1266	MELEE/SWORD			Longsword			Charles I of Anjou defeats Manfred of Sicily at the Battle of Benevento
1272	ENTERTAINMENT 			Joust				War of the Cow erupts after a peasant stole a cow during a joust
1274	MONASTICISM			Gothic Mendicant		Second Council of Lyon establishes major mendicant orders
1275	PORT				Portolan Chart			Carta Pisana is made
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
LATE	Flamboyant Age			1280 - 1364			(84 years)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
1280	SCRIPTURES[HISTORIC]		Painted Panel Altars		Cimabue completes his Maesta painting
1281	HELMETS				Bascinet			Bascinet in use in Padua
1282	MANORIALISM			Paper Mill			Water powered paper mill established in Aragon
1283	FEUDALISM			Table Games			Alfonso X the Wise completes his Book of Games
1285	SKIRMISH			Longbow				Edward I issues statute of Winchester
1290	MONASTICISM			Gothic Relics			Duccio completes his Madonna and Child
1299	FINANCE				Bookkeeping			The Farolfi firm from Florence employs Amatino Manucci	
1300	WARDROBE			Tabard				Tabard in use			
1302	MELEE/POLEARM			Halberd				Flemish militia are victorious in the Battle of the Golden Spurs
1307	PORT				Portuguese Lateen Rig		Larger Caravels in use in the Bay of Biscay
1309	SCHOLASTICISM			Studium Humanitas		Pope Clement V moves Curia to Avignon	
1317	FORTIFICATION			Kremlin				Tver city wall and fortified complex is constructed
1320	MELEE/SWORD			Fencing Books			Johannes Lichtenauer completes his combat manual		
1325	ENTERTAINMENT			Hastilude			Order of Saint George founded
1326	SIEGECRAFT			Cannon				Florence obtains cannons
1340	ARMOR				Breastplates			Battle of Saint Omer		
1347	CRAFTS				Canada System			Mesta charter is supplemented		
1351	CONSTRUCTION			Fan Vault			Gloucester Cathedral completes construction of its cloisters
1355	CAVALRY				Hobelar				Edward of Woodstock marches from Bordeaux
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
LATE	Italian Renaissance		1364 - 1420			(56 years)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
1364	ENTERTAINMENT[HISTORIC]		Saltarello			Guillaume de Machaut completes his Messe de Nostre Dame	
1370	FORTIFICATION			Zwinger				Buda fortress is remodeled with kill zones
1371	ARMOR				Faulds				Treaty of Tagilde is signed			
1375	CRAFTS				Maiolica			Maiolica workshops spread in Tuscany
1378	MANORIALISM			Renaissance Urbanization	Ciompi wool carders revolt occurs in Florence
1377	PORT				Quarantine			Ragusa implements a waiting period		
1382	CONSTRUCTION			Renaissance Arcade		Loggia dei Lanzi is constructed in Florence
1384	MONASTICISM			Renaissance Mendicant		Florens Radewyns establishes the Brethren of the Common Life
1385	SIEGECRAFT			Gun Loop			Bodiam castle is constructed
1387	FEUDALISM			Rondeau				Geoffrey Chaucer commences his Canterbury Tales	
1390	CAVALRY				Rowel Spurs			Rowel spurs in use in medieval Europe		
1394	SKIRMISH			Culverin			Janissary corps incorporates handguns
1399	WARDROBE			Tapestry			Philip the Bold of Burgundy orders tapestries from Paris
1402	MELEE/SWORD			Claymore			Archibald Douglas clashes with the English at Nesbit Moor
1407	HELMETS				Sallet				Gianfrancesco I Gonzaga inherits the rule of Mantua
1410	MELEE/POLEARM			Poleaxe				Vytautas the Great defeats the Teutonic Order at Grunwald
1412	FINANCE				Land Terrier			The Medici Family are made official bankers of the Papacy
1416	SCRIPTURES			Renaissance Manuscripts		Limbourg Brothers complete The Very Rich Hours of the Duke of Berry	
1419	SCHOLASTICISM			Renaissance Scholasticism	Reconstruction of the Basilica of San Lorenzo in Florence
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
LATE	Maritime Age			1420 - 1453			(33 years)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
1420	CONSTRUCTION[HISTORIC]		Renaissance Dome		Brunelleschi commences construction of the dome of Santa Maria del Fiore
1421	CRAFTS				Stagecoach			Kocs inhabitants make wagons for the daughter of King Zsigmond
1422	FINANCE				Mercantilism			Murad II blockades Thessalonica
1423	MONASTICISM			Renaissance Relics		Masaccio travelled to Rome with Masolino
1424	HELMETS				Armet				Visconti of Milan captures Malatesta of Florence at Zagonara
1425	ARMOR				Plate Armor			Plate armor in use in medieval Europe
1426	FORTIFICATION			Roundel				Hussites construct Sion castle
1428	ENTERTAINMENT			Chamber of Rhetoric		First Chamber of Rhetoric establishes in Bruges
1429	MELEE/SWORD			Great Sword			Joan of Arc enters Orleans with a relief expedition
1430	PORT				Full Rig			William Soper dines onboard the flagship Grace Dieu
1431	SCHOLASTICISM			Conciliarism			The council of Basil is convoked
1432	FEUDALISM			Canvas				Jan van Eyck completes his Portrait of a Man
1435	MANORIALISM			Renaissance Viticulture		John IV of Katzenelnbogen plants Riesling
1436	SIEGECRAFT			Bombard				Paris is recaptured by the English
1439	CAVALRY				Gendarme			Charles VII of France issues an ordinance at Orleans
1441	SKIRMISH			Arquebus			John Hunyadi is victorious at Semendria
1442	WARDROBE			Cassone				Giovanni di Francesco becomes a master in a Florentine guild
1448	MELEE/POLEARM			Voulge Guisarme			Charles VII of France issues an ordinance at Montil-les-Tours
1450	SCRIPTURES			Blockbooks			Gutenberg invents moveable type printing				
1453	[HISTORIC]							Fall of Constantinople
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
